game_id,format,player_id,player_rating,opening_name,book_moves,turns,result,rating_difference
QurxyQkA,Rapid,moon50,1409,Ruy Lopez: Morphy Defense |  Caro Variation,8,73,Won,112
mJ9VpdxV,Rapid,taranga,1280,Italian Game: Anti-Fried Liver Defense,6,159,Won,-205
dFQ5D7CS,Rapid,taranga,1281,Philidor Defense #4,6,112,Lost,-484
2FpFvoMt,Rapid,taranga,1288,Petrov's Defense,4,104,Lost,-166
cywOBEY5,Rapid,moon50,1560,Queen's Gambit Refused: Chigorin Defense #2,5,40,Lost,290
pnU8dLUx,Rapid,taranga,1274,Sicilian Defense: Jalalabad Variation,4,44,Lost,-260
lE65efFF,Rapid,taranga,1259,Italian Game: Anti-Fried Liver Defense,6,150,Draw,-404
bCVL4bZl,Rapid,trotil45,1614,Queen's Pawn Game: London System,5,60,Lost,376
WUyPeYW8,Rapid,taranga,1221,French Defense: Advance Variation |  Milner-Barry Gambit,11,37,Won,-196
xRY7h8aS,Rapid,taranga,1222,Sicilian Defense: Open #3,7,88,Lost,-510
92UGyHOr,Rapid,hallowdance,1232,Ruy Lopez: Exchange Variation,7,113,Won,-2
UqxaqU7R,Classical,taranga,1240,Russian Game: Damiano Variation |  Kholmov Gambit,8,55,Won,21
TTzZc8gW,Rapid,harrygz,1590,English Opening: Carls-Bremen System,5,135,Won,-10
F7oADKYb,Rapid,rinoooo,1568,Italian Game,5,137,Draw,-49
GoYkQEoS,Rapid,dbschultz,1500,Four Knights Game,6,97,Won,142
VVkKGe4E,Classical,thegrim123321,1377,Scandinavian Defense: Mieses-Kotroc Variation,4,91,Won,128
11VaOez1,Classical,kingestee33,1375,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4,53,Won,-14
2akR3Bit,Rapid,thegrim123321,1378,Philidor Defense,5,49,Won,17
mG2dEz4z,Rapid,deragon63,1261,King's Pawn Game: Maroczy Defense,4,48,Lost,-110
xrZnbIGD,Rapid,thegrim123321,1380,Sicilian Defense: Old Sicilian,4,20,Lost,-49
lOU3lddA,Rapid,thegrim123321,1369,Russian Game: Damiano Variation,6,87,Won,1
xYEVgk0W,Rapid,piechess97,1290,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9,11,Won,-81
QnXuc72h,Rapid,thegrim123321,1372,St. George Defense,2,110,Draw,46
ejaSwZEr,Blitz,thekingdomcome,1361,Van't Kruijs Opening,1,24,Won,-22
3ZfA3gFa,Rapid,rookreversal,1217,English Opening: King's English Variation |  Two Knights Variation,4,23,Won,-182
WoOqoYEL,Rapid,thegrim123321,1387,Ruy Lopez,5,81,Won,-60
ZctgRAt4,Rapid,thegrim123321,1377,Philidor Defense #2,4,103,Won,26
VuZ0dzhO,Classical,thegrim123321,1389,King's Pawn Game: McConnell Defense,4,29,Lost,50
hVSNfLer,Blitz,annael88,1395,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9,46,Lost,17
XyM6zTew,Blitz,thegrim123321,1370,Ruy Lopez: Bird Variation,6,23,Won,113
5sEcA5zs,Rapid,thegrim123321,1360,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5,31,Won,28
rth667hB,Classical,thegrim123321,1354,Italian Game,5,31,Won,137
