id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
2qGLE7ir,Rapid,resign,7,Slav Defense: Quiet Variation,white,81,afshin135,1696,yht,2054
Uoe9up0s,Rapid,resign,6,Center Game: Normal Variation,black,68,yht,2054,hossein5151,1626
RuHlwQEe,Classical,outoftime,2,Scandinavian Defense,black,2,yht,2073,masterbigsuff,2257
qyyJeVj8,Classical,outoftime,3,Bird Opening: Williams Gambit,black,4,yht,2104,masterbigsuff,2081
XdtidcM9,Classical,outoftime,2,Scandinavian Defense,black,2,yht,2159,masterbigsuff,1500
gENhjY12,Classical,outoftime,2,Scandinavian Defense,black,2,sklibur,1816,yht,2230
sxWWj2rK,Classical,resign,3,Zukertort Opening: Tennison Gambit,white,37,morteza0088996655,2098,yht,2279
geYkmEU0,Classical,draw,3,French Defense: Knight Variation,draw,39,morteza0088996655,2002,yht,2302
BfVNuoo1,Classical,mate,5,Three Knights Opening,white,23,yht,2276,morteza0088996655,2111
39RyjZ7h,Classical,resign,1,Mieses Opening,white,33,morteza0088996655,1500,yht,2352
lG2DQSFG,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1425,yht,2346
KPyvpZmW,Classical,outoftime,2,Queen's Pawn Game,black,2,poster,1836,yht,2340
Zb03JOBE,Classical,outoftime,2,Queen's Pawn Game,black,2,raminder57,1921,yht,2322
wVYBmOsX,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1491,yht,2318
hGHnjl8h,Blitz,mate,7,Slav Defense: Bonet Gambit,black,90,hurameshi,1305,yht,2318
XSUAQ0ND,Classical,outoftime,2,Scandinavian Defense,black,2,diba-rad,1654,yht,2314
oVAh4Lhy,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1500,yht,2314
fshctHjX,Classical,outoftime,2,Scandinavian Defense,black,2,twrn,1513,yht,2312
oeKZfbZM,Blitz,outoftime,3,Bishop's Opening,white,27,suskunkral,1591,mashi,1348
XrrSqsLH,Rapid,resign,3,Bishop's Opening,white,19,al-ol-da55,1531,mashi,1354
wqVfMtL1,Rapid,resign,5,Ruy Lopez,white,23,mashi,1337,ivox100,1567
hywQiDO9,Rapid,resign,3,Sicilian Defense: Closed Variation,black,53,mashi,1349,hasseplayschess,1308
c2jR4LLr,Rapid,outoftime,8,Italian Game: Giuoco Pianissimo |  Normal,black,28,sanskrit,1354,mashi,1337
uLpKebwX,Rapid,resign,4,Sicilian Defense: Closed Variation |  Traditional,black,14,mashi,1345,chrisg97,1471
NxiFn3UA,Rapid,resign,3,Sicilian Defense: Closed Variation,black,26,mashi,1352,javaz,1503
wsVUrD0r,Rapid,resign,6,Giuoco Piano,white,45,fabri18,1336,mashi,1364
KCkUGpOT,Rapid,resign,6,Ruy Lopez: Classical Variation,white,39,hidanao,1527,mashi,1371
QrDl6KmE,Blitz,outoftime,5,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,white,35,tekechec,1572,mashi,1376
0v0BpkZ5,Blitz,mate,3,King's Pawn Game: Nimzowitsch Defense,black,34,mashi,1382,tekechec,1567
DWSeTh4w,Rapid,resign,8,Ruy Lopez: Berlin Defense |  Beverwijk Variation,white,34,shamusokeefe,1372,mashi,1395
KQUiTt7P,Rapid,outoftime,11,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,white,61,nicknick33,1412,mashi,1406
uPhqRqbs,Rapid,resign,7,Alekhine Defense #3,black,26,mashi,1414,martanietzsche,1557
UtNlgfdi,Rapid,resign,5,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,white,41,mashi,1398,ketan_a_mahajan,1515
kHmSQxwH,Blitz,resign,2,French Defense #2,black,18,mashi,1415,thekingdomcome,1437
j7WgO6Pq,Classical,mate,9,Ruy Lopez: Morphy Defense |  Anderssen Variation,black,46,mashi,1421,wargoss,1630
AsWSYyDc,Classical,mate,3,Bishop's Opening,white,75,wargoss,1624,mashi,1427
8JrLiPoU,Rapid,resign,4,Philidor Defense #2,black,48,mashi,1439,bugatsinho,1422
1EoQv5mm,Rapid,resign,5,Nimzo-Larsen Attack: Modern Variation #4,black,14,texas-ram,1454,mashi,1427
x2cwpcrI,Rapid,mate,2,Pirc Defense #4,white,33,mashi,1413,anactacia,1441
q4qoJqKJ,Rapid,mate,5,Scotch Game,black,42,norok_orion,1444,mashi,1400
AxGtAluc,Rapid,resign,6,Giuoco Piano,white,37,pawnisle,1518,mashi,1408
p1OQCGtH,Rapid,mate,5,Ruy Lopez,white,101,mashi,1394,elturko27,1442
NK4gRxUv,Rapid,mate,2,Ware Defense,white,51,mashi,1380,pmcheater,1418
IVplPQB8,Rapid,mate,8,Four Knights Game: Italian Variation,black,22,lavinia5,1500,mashi,1369
xi7UTE9O,Classical,mate,4,Indian Game: Budapest Defense,white,45,mcervants,1770,mashi,1372
CBYqHsP1,Rapid,resign,5,Caro-Kann Defense: Advance Variation,black,42,mashi,1374,bear_1102,1848
LeQiPby9,Blitz,outoftime,6,Queen's Pawn Game: Colle System |  Anti-Colle,white,35,said295,1457,mashi,1384
